Errors,"Mobile (+91-)","First Name","Last Name","Home Address1","Society Name","Home Address2","Home Address3","Home State","Home City","Home Pin Code","Company Name","Office Address2","Office Address3","Office State","Office City","Office Pin Code","Personal Email ID","Date Of Birth",Occupation,"Organization Name",Designation,"Official Email ID",Make,Model,"Registration No","Campaign Id",Outlet,"Insurance Date","Insurance Company","Odometer Reading","Last Service date","Date Of Sale"
"Mobile already Exist",9547815421,Ishwar,Tiwari,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1988,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,12/26/2012,Techfour,1500,10/26/2013,10/26/2012
"Mobile is Empty",,Ajay,Sahu,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,5/27/1989,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,12/26/2013,Techfour,1500,10/26/2013,10/26/2012
"Mobile already Exist",9547815108,Deepak,Rai,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1988,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,10/26/2012,Techfour,1500,10/26/2013,10/26/2012
"Mobile already Exist",9547815109,Suhail,Khan,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1986,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,12/26/2013,Techfour,1500,10/26/2013,10/26/2012
"Mobile already Exist",9547815430,Ishwar,Tiwari,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1988,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545349,CAM91,,12/26/2012,Techfour,1500,10/26/2013,10/26/2012
"First Name and Last Name is Empty",9547815426,,,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,5/27/1989,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,12/26/2013,Techfour,1500,10/26/2013,10/26/2012
"Mobile already Exist",9547815435,Deepak,Rai,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1988,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,10/26/2012,Techfour,1500,10/26/2013,10/26/2012
"Mobile already Exist",9547815429,Suhail,Khan,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1986,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,12/26/2013,Techfour,1500,10/26/2013,10/26/2012
"Mobile already Exist",9547815432,Ishwar,Tiwari,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1988,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,12/26/2012,Techfour,1500,10/26/2013,10/26/2012
"First Name and Last Name is Empty",9547815431,,,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,5/27/1989,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,12/26/2013,Techfour,1500,10/26/2013,10/26/2012
"Mobile already Exist",9547815432,Deepak,Rai,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1988,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,10/26/2012,Techfour,1500,10/26/2013,10/26/2012
"Mobile already Exist",9547815432,Suhail,Khan,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1986,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,12/26/2013,Techfour,1500,10/26/2013,10/26/2012
"Mobile already Exist",9547815433,Ishwar,Tiwari,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1988,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,12/26/2012,Techfour,1500,10/26/2013,10/26/2012
"Mobile already Exist",9547815434,Ajay,Sahu,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,5/27/1989,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,12/26/2013,Techfour,1500,10/26/2013,10/26/2012
"Mobile number is not Valid/First Name and Last Name is Empty",95478154,,,"Shrutihar,Mirzapur",Adalhat,"Shrutihar,Mirzapur","Shrutihar,Mirzapur",UP,Adalhat,231302,Techfour,"G-17D,New Dlhi","G-17D,New Dlhi","New Delhi",Delhi,201301,jitu8988@gmail.com,12/26/1988,Developer,Techfour,"Software Developer",Jitsingh006@gmail.com,,,FSDFS545348,CAM91,,10/26/2012,Techfour,1500,10/26/2013,10/26/2012
